,ID,Age,Income,Sex_Female,Sex_Male,Marital status_non-single,Marital status_single,Education_graduate school,Education_high school,Education_other / unknown,Education_university,Occupation_management / self-employed,Occupation_official,Occupation_unemployed,Settlement size_big city,Settlement size_mid-sized city,Settlement size_small city
0,100000001,67,124670,0,1,0,1,0,0,0,1,0,1,0,1,0,0
1,100000002,22,150773,1,0,1,0,0,1,0,0,0,1,0,1,0,0
2,100000003,49,89210,0,1,0,1,0,1,0,0,0,0,1,0,0,1
3,100000004,45,171565,0,1,0,1,0,1,0,0,0,1,0,0,1,0
4,100000005,53,149031,0,1,0,1,0,1,0,0,0,1,0,0,1,0
5,100000006,35,144848,0,1,0,1,0,1,0,0,0,0,1,0,0,1
6,100000007,53,156495,0,1,0,1,0,1,0,0,0,1,0,0,1,0
7,100000008,35,193621,0,1,0,1,0,1,0,0,1,0,0,0,1,0
8,100000009,61,151591,0,1,1,0,0,0,0,1,0,0,1,0,0,1
9,100000010,28,174646,0,1,1,0,0,1,0,0,1,0,0,0,0,1
10,100000011,25,108469,1,0,1,0,0,1,0,0,0,1,0,0,0,1
11,100000012,24,127596,1,0,1,0,0,1,0,0,0,1,0,0,0,1
12,100000013,22,108687,1,0,1,0,0,1,0,0,0,1,0,1,0,0
13,100000014,60,89374,0,1,0,1,0,0,0,1,0,0,1,0,0,1
14,100000015,28,102899,1,0,1,0,0,1,0,0,0,1,0,0,1,0
15,100000016,32,88428,1,0,1,0,0,1,0,0,0,0,1,0,0,1
16,100000017,53,125550,0,1,0,1,0,1,0,0,0,1,0,0,0,1
17,100000018,25,157434,0,1,0,1,0,0,1,0,0,1,0,1,0,0
18,100000019,44,261952,1,0,1,0,0,0,0,1,1,0,0,1,0,0
19,100000020,31,144657,0,1,0,1,0,0,1,0,0,1,0,0,1,0
20,100000021,48,118777,0,1,0,1,0,1,0,0,0,1,0,0,1,0
21,100000022,44,147511,0,1,0,1,0,1,0,0,0,1,0,0,1,0
22,100000023,48,89804,0,1,0,1,0,1,0,0,0,0,1,0,0,1
23,100000024,44,134918,0,1,0,1,0,1,0,0,0,1,0,1,0,0
24,100000025,26,103667,0,1,1,0,0,1,0,0,0,1,0,1,0,0
25,100000026,36,71909,0,1,0,1,0,1,0,0,0,0,1,0,0,1
26,100000027,39,68264,0,1,1,0,0,1,0,0,0,0,1,0,0,1
27,100000028,42,163025,1,0,1,0,0,0,0,1,0,1,0,0,1,0
28,100000029,34,119307,0,1,0,1,0,1,0,0,0,1,0,0,1,0
29,100000030,63,175882,0,1,0,1,0,0,0,1,0,1,0,0,0,1
30,100000031,36,159646,0,1,1,0,0,1,0,0,0,1,0,0,1,0
31,100000032,27,120131,0,1,0,1,0,0,1,0,0,1,0,0,1,0
32,100000033,30,162745,0,1,0,1,0,0,1,0,0,1,0,1,0,0
33,100000034,57,87605,0,1,0,1,0,0,0,1,0,0,1,0,0,1
34,100000035,33,155569,1,0,1,0,0,1,0,0,1,0,0,0,1,0
35,100000036,25,104505,0,1,0,1,0,0,1,0,0,0,1,0,0,1
36,100000037,31,143385,0,1,0,1,0,0,1,0,0,1,0,1,0,0
37,100000038,37,127676,0,1,0,1,0,1,0,0,0,1,0,0,1,0
38,100000039,37,119276,0,1,0,1,0,1,0,0,0,1,0,0,1,0
39,100000040,24,92542,0,1,0,1,0,0,1,0,0,1,0,0,1,0
40,100000041,30,163329,0,1,0,1,0,0,1,0,1,0,0,0,1,0
41,100000042,26,130921,0,1,1,0,0,1,0,0,0,1,0,0,0,1
42,100000043,44,133658,0,1,0,1,0,1,0,0,0,0,1,0,0,1
43,100000044,24,155104,0,1,1,0,0,1,0,0,0,1,0,0,1,0
44,100000045,58,142335,1,0,1,0,0,0,0,1,0,0,1,0,1,0
45,100000046,35,138387,1,0,1,0,0,1,0,0,1,0,0,0,1,0
